name	split
MassSpecGymID0000001	train
MassSpecGymID0000002	train
MassSpecGymID0000003	train
MassSpecGymID0000004	train
MassSpecGymID0000005	train
MassSpecGymID0000006	train
MassSpecGymID0000007	train
MassSpecGymID0000008	train
MassSpecGymID0000009	train
MassSpecGymID0000010	train
MassSpecGymID0000011	train
MassSpecGymID0000012	train
MassSpecGymID0000013	train
MassSpecGymID0000014	train
MassSpecGymID0000015	train
MassSpecGymID0000016	train
MassSpecGymID0000017	train
MassSpecGymID0000018	train
MassSpecGymID0000019	train
MassSpecGymID0000020	train
MassSpecGymID0000021	train
MassSpecGymID0000022	train
MassSpecGymID0000023	train
MassSpecGymID0000026	train
MassSpecGymID0000027	train
MassSpecGymID0000032	train
MassSpecGymID0000033	train
MassSpecGymID0000035	train
MassSpecGymID0000036	train
MassSpecGymID0000037	train
MassSpecGymID0000038	train
MassSpecGymID0000039	train
MassSpecGymID0000040	train
MassSpecGymID0000041	train
MassSpecGymID0000043	train
MassSpecGymID0000044	train
MassSpecGymID0000045	train
MassSpecGymID0000046	train
MassSpecGymID0000047	train
MassSpecGymID0000048	train
MassSpecGymID0000049	train
MassSpecGymID0000050	train
MassSpecGymID0000052	train
MassSpecGymID0000053	train
MassSpecGymID0000054	train
MassSpecGymID0000055	train
MassSpecGymID0000056	train
MassSpecGymID0000057	train
MassSpecGymID0000058	train
MassSpecGymID0000059	train
MassSpecGymID0000060	train
MassSpecGymID0000061	train
MassSpecGymID0000062	train
MassSpecGymID0000063	train
MassSpecGymID0000064	train
MassSpecGymID0000065	train
MassSpecGymID0000066	train
MassSpecGymID0000067	train
MassSpecGymID0000068	train
MassSpecGymID0000069	train
MassSpecGymID0000070	train
MassSpecGymID0000071	train
MassSpecGymID0000072	train
MassSpecGymID0000073	train
MassSpecGymID0000074	train
MassSpecGymID0000075	train
MassSpecGymID0000076	train
MassSpecGymID0000077	train
MassSpecGymID0000078	train
MassSpecGymID0000079	train
MassSpecGymID0000080	train
MassSpecGymID0000081	train
MassSpecGymID0000082	train
MassSpecGymID0000083	train
MassSpecGymID0000084	train
MassSpecGymID0000085	train
MassSpecGymID0000086	train
MassSpecGymID0000087	train
MassSpecGymID0000088	train
MassSpecGymID0000089	train
MassSpecGymID0000090	train
MassSpecGymID0000091	train
MassSpecGymID0000092	train
MassSpecGymID0000094	train
MassSpecGymID0000095	train
MassSpecGymID0000096	train
MassSpecGymID0000097	train
MassSpecGymID0000098	train
MassSpecGymID0000099	train
MassSpecGymID0000102	train
MassSpecGymID0000103	train
MassSpecGymID0000104	train
MassSpecGymID0000105	train
