dataset	spec	name	ionization	formula	smiles	inchikey	instrument
canopus_train	CCMSLIB00000845714		[M+H]+	C16H14O4	COc1cc(O)c2c(c1)OC(c1ccccc1)CC2=O	ORJDDOBAOGKRJV-UHFFFAOYSA-N	Bruker Q-ToF (LCMS)
canopus_train	CCMSLIB00005465740		[M+H]+	C26H45NO6S	CC(CC(O)C(=O)NCCS(=O)(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C	WURGVTTXAYJRCC-UHFFFAOYSA-N	Q-ToF (LCMS)
canopus_train	CCMSLIB00003139869		[M+H]+	C21H20O9	O=c1c(-c2ccc(O)cc2)coc2cc(OC3OC(CO)C(O)C(O)C3O)ccc12	KYQZWONCHDNPDP-UHFFFAOYSA-N	Q-ToF (LCMS)
canopus_train	CCMSLIB00000846725		[M+H]+	C21H22O5	COc1cc(O)c(CC=C(C)C)c(O)c1C(=O)C=Cc1ccc(O)cc1	ORXQGKIUCDPEAJ-UHFFFAOYSA-N	Bruker Q-ToF (LCMS)
canopus_train	CCMSLIB00000577981		[M+H]+	C3H7O7P	O=C(O)C(O)COP(=O)(O)O	OSJPPGNTCRNQQC-UHFFFAOYSA-N	Orbitrap (LCMS)
canopus_train	mona_1352		[M+H]+	C11H14Cl3NO2	CC(O)CNCCOc1c(Cl)cc(Cl)cc1Cl	CCROUVCATXGAFZ-UHFFFAOYSA-N	Orbitrap (LCMS)
canopus_train	CCMSLIB00001059041		[M+H]+	C16H15F2N3Si	C[Si](Cn1cncn1)(c1ccc(F)cc1)c1ccc(F)cc1	FQKUGOMFVDPBIZ-UHFFFAOYSA-N	Bruker Q-ToF (LCMS)
canopus_train	CCMSLIB00005465885		[M+H]+	C29H49NO6S	CSCCC(NC(=O)CCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C)C(=O)O	VNBNDOGLQFEJKP-UHFFFAOYSA-N	Q-ToF (LCMS)
canopus_train	CCMSLIB00000085128		[M+H]+	C14H19N3S	CN(C)CCN(Cc1cccs1)c1ccccn1	HNJJXZKZRAWDPF-UHFFFAOYSA-N	Q-ToF (LCMS)
canopus_train	CCMSLIB00003138642		[M+H]+	C11H21N3O5	NC(CCCCNC(=O)CCC(N)C(=O)O)C(=O)O	JPKNLFVGUZRHOB-UHFFFAOYSA-N	Q-ToF (LCMS)
