sample_id	true_smiles	has_inference	has_valid_candidate	failure_reason	n_generated	n_valid	n_valid_connected	n_invalid	n_disconnected	unique_valid_candidates_considered	ranked_candidates_top10	frequency_counts_top10	accuracy_top1	tanimoto_top1	mces_top1	accuracy_top5	tanimoto_top5	mces_top5	accuracy_top10	tanimoto_top10	mces_top10
CCMSLIB00000845714	COc1cc(O)c2c(c1)OC(c1ccccc1)CC2=O	1	1		100	100	100	0	0	5	"[""COc1cc(O)c2c(c1)OC(c1ccccc1)CC2=O"",""COc1cc(O)c2c(c1)OC(Cc1ccccc1)C2=O"",""COc1cc(O)cc2c1OC(c1ccccc1)CC2=O"",""COc1cc(O)c2c(c1)OCC(c1ccccc1)C2=O"",""COc1cc(O)cc2c1OC(Cc1ccccc1)C2=O""]"	[86,7,4,2,1]	1	1.0	0.0	1	1.0	0.0	1	1.0	0.0
CCMSLIB00005465740	CC(CC(O)C(=O)NCCS(=O)(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C	1	1		100	100	100	0	0	9	"[""CC(CC(O)C(=O)NCCS(=O)(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C"",""CC(CCOC(=O)NCCS(=O)(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C"",""CC(CC(O)C(O)=NCCS(=O)(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C"",""CC(C)(C(O)C(=O)NCCS(=O)(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC21C"",""CC(CCOC(O)=NCCS(=O)(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C"",""CC(CCO)(C(=O)NCCS(=O)(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC21C"",""CC(CC(O)C(=O)NCCS(=O)(=O)O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C"",""CC(CC(O)C(=O)NCCS(=O)(=O)O)C1CCC2C3CCC4CC(O)CCC45CC35CCC12C"",""CC(C(CO)C(=O)NCCS(=O)(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C""]"	[60,25,5,3,2,2,1,1,1]	1	1.0	0.0	1	1.0	0.0	1	1.0	0.0
CCMSLIB00003139869	O=c1c(-c2ccc(O)cc2)coc2cc(OC3OC(CO)C(O)C(O)C3O)ccc12	1	1		100	100	100	0	0	3	"[""O=c1c(-c2ccc(O)cc2)coc2cc(OC3OC(CO)C(O)C(O)C3O)ccc12"",""O=C1C(c2ccc(O)cc2)=C(O)c2cc(OC3OC(CO)C(O)C(O)C3O)ccc21"",""O=C(c1cccc(O)c1)c1coc2cc(OC3OC(CO)C(O)C(O)C3O)ccc12""]"	[98,1,1]	1	1.0	0.0	1	1.0	0.0	1	1.0	0.0
CCMSLIB00000846725	COc1cc(O)c(CC=C(C)C)c(O)c1C(=O)C=Cc1ccc(O)cc1	1	1		100	100	100	0	0	4	"[""COc1cc(O)c(CC=C(C)C)c(O)c1C(=O)C=Cc1ccc(O)cc1"",""COc1cc(OCC=C(C)C)cc(O)c1C(=O)C=Cc1ccc(O)cc1"",""COc1cc(OC)c(C(=O)C=Cc2ccc(O)cc2)c(O)c1C=C(C)C"",""COc1cc(O)c(CC=C(C)C)c(OC)c1OCCc1ccc(O)cc1""]"	[97,1,1,1]	1	1.0	0.0	1	1.0	0.0	1	1.0	0.0
CCMSLIB00000577981	O=C(O)C(O)COP(=O)(O)O	1	1		100	100	100	0	0	5	"[""O=C(O)C(O)COP(=O)(O)O"",""O=C(O)COCOP(=O)(O)O"",""O=P(O)(O)OCC(O)C(O)O"",""O=P(O)(O)OCOCC(O)O"",""O=C(O)C(O)C(O)P(=O)(O)O""]"	[92,3,3,1,1]	1	1.0	0.0	1	1.0	0.0	1	1.0	0.0
mona_1352	CC(O)CNCCOc1c(Cl)cc(Cl)cc1Cl	1	1		100	99	98	1	1	10	"[""CC(O)CNCCOc1c(Cl)cc(Cl)cc1Cl"",""CC(O)CN(C)C(=O)c1c(Cl)cc(Cl)cc1Cl"",""CC(=O)CNCCOc1c(Cl)cc(Cl)cc1Cl"",""CC(O)CN(C)COc1c(Cl)cc(Cl)cc1Cl"",""CC(O)CNC(C)Oc1c(Cl)cc(Cl)cc1Cl"",""CCN=C(OCC)Oc1c(Cl)cc(Cl)cc1Cl"",""CC(O)CNCC(O)c1c(Cl)cc(Cl)cc1Cl"",""CNC(COc1c(Cl)cc(Cl)cc1Cl)C(C)O"",""CCOC(COc1c(Cl)cc(Cl)cc1Cl)NC"",""CCOCNCCOc1c(Cl)cc(Cl)cc1Cl""]"	[50,11,6,5,3,3,3,2,2,2]	1	1.0	0.0	1	1.0	0.0	1	1.0	0.0
CCMSLIB00001059041	C[Si](Cn1cncn1)(c1ccc(F)cc1)c1ccc(F)cc1	1	1		100	98	98	2	0	2	"[""C[Si](Cn1cncn1)(c1ccc(F)cc1)c1ccc(F)cc1"",""C[SiH](CNc1ncnc2ccc(F)cc12)c1ccc(F)cc1""]"	[96,2]	1	1.0	0.0	1	1.0	0.0	1	1.0	0.0
CCMSLIB00005465885	CSCCC(NC(=O)CCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C)C(=O)O	1	1		100	100	100	0	0	10	"[""CSCCC(NC(=O)CCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C)C(=O)O"",""CSCCC(NC(=O)C=CC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C)C(=O)O"",""CSC1CC(NC(=O)CCC(C)C2CCC3C4C(O)CC5CC(O)CCC5(C)C4CC(O)C23C)C(=O)O1"",""CSCCC(NC(O)CCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C)C(=O)O"",""CSCCC(NC(=O)CCC(C)C1CCC2C3C4OC4C4CC(O)CCC4(C)C3CC(O)C12C)C(=O)O"",""CSC(C)C(NC(=O)C=CC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C)C(=O)O"",""CSCCC(NC(=O)C(C)CCC1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C)C(=O)O"",""CSCCC(NC(=O)C=CCC1CCCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C)C(=O)O"",""CSCCC(NC(=O)CCCC1CCCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C)C(=O)O"",""CSCCC(CCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C)(NC=O)C(=O)O""]"	[74,6,3,2,2,1,1,1,1,1]	1	1.0	0.0	1	1.0	0.0	1	1.0	0.0
CCMSLIB00000085128	CN(C)CCN(Cc1cccs1)c1ccccn1	1	1		100	98	98	2	0	10	"[""CN(C)CCN(Cc1cccs1)c1ccccn1"",""CNCCCN(Cc1cccs1)c1ccccn1"",""CN(C)CC(NCc1cccs1)c1ccccn1"",""CN(CCCNCc1cccs1)c1ccccn1"",""CNC(C)CN(Cc1cccs1)c1ccccn1"",""CN(C)CC(=NCc1cccs1)c1ccccn1"",""CN(C)CCN=C(c1ccccn1)c1cccs1"",""CCN(C)CN(Cc1cccs1)c1ccccn1"",""CC(CN(C)c1ccccn1)NCc1cccs1"",""CCCN(C)N(Cc1cccs1)c1ccccn1""]"	[76,8,4,2,2,1,1,1,1,1]	1	1.0	0.0	1	1.0	0.0	1	1.0	0.0
CCMSLIB00003138642	NC(CCCCNC(=O)CCC(N)C(=O)O)C(=O)O	1	1		100	100	100	0	0	4	"[""NC(CCCCNC(=O)CCC(N)C(=O)O)C(=O)O"",""NCCCCC(NC(=O)CCC(N)C(=O)O)C(=O)O"",""NCCCC(=O)NC(CCCC(N)C(=O)O)C(=O)O"",""NC(CCCC(NC(=O)C1CCN1)C(=O)O)C(=O)O""]"	[49,44,6,1]	1	1.0	0.0	1	1.0	0.0	1	1.0	0.0
