demo_order	spec_id	compound_name	formula	ionization	instrument	inchikey	smiles	predicted_top1_smiles	heavy_atom_count	peak_count	unique_mz_count	library_quality	n_generated	n_valid_connected	valid_connected_fraction	top1_frequency	top1_frequency_fraction	quality_score	max_tanimoto_to_earlier	selection_value
1	CCMSLIB00000845714	NCGC00180751-02!(2R)-5-hydroxy-7-methoxy-2-phenyl-2,3-dihydrochromen-4-one M+H	C16H14O4	[M+H]+	Bruker Q-ToF (LCMS)	ORJDDOBAOGKRJV-UHFFFAOYSA-N	COc1cc(O)c2c(c1)OC(c1ccccc1)CC2=O	COc1cc(O)c2c(c1)OC(c1ccccc1)CC2=O	20	324	324		100	100	1.0	86	0.86	0.95	0.0	1.0
2	CCMSLIB00005465740	"""2-((2R,4R)-2-hydroxy-4-((3R,5R,8R,9S,10S,13R,17R)-3-hydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid"" M+H"	C26H45NO6S	[M+H]+	Q-ToF (LCMS)	WURGVTTXAYJRCC-UHFFFAOYSA-N	CC(CC(O)C(=O)NCCS(=O)(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C	CC(CC(O)C(=O)NCCS(=O)(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C	34	1186	1186		100	100	1.0	60	0.6	0.95	0.0659341	1.0289
3	CCMSLIB00003139869	Spectral Match to Daidzin from NIST14 M+H	C21H20O9	[M+H]+	Q-ToF (LCMS)	KYQZWONCHDNPDP-UHFFFAOYSA-N	O=c1c(-c2ccc(O)cc2)coc2cc(OC3OC(CO)C(O)C(O)C3O)ccc12	O=c1c(-c2ccc(O)cc2)coc2cc(OC3OC(CO)C(O)C(O)C3O)ccc12	30	1033	1033		100	100	1.0	98	0.98	0.95	0.168831	0.995974
4	CCMSLIB00000846725	NCGC00180304-03!(E)-1-[2,4-dihydroxy-6-methoxy-3-(3-methylbut-2-enyl)phenyl]-3-(4-hydroxyphenyl)prop-2-en-1-one M+H	C21H22O5	[M+H]+	Bruker Q-ToF (LCMS)	ORXQGKIUCDPEAJ-UHFFFAOYSA-N	COc1cc(O)c(CC=C(C)C)c(O)c1C(=O)C=Cc1ccc(O)cc1	COc1cc(O)c(CC=C(C)C)c(O)c1C(=O)C=Cc1ccc(O)cc1	26	391	391		100	100	1.0	97	0.97	0.95	0.180556	0.992222
5	CCMSLIB00000577981	D-(-)-3-PHOSPHOGLYCERIC ACID M+H	C3H7O7P	[M+H]+	Orbitrap (LCMS)	OSJPPGNTCRNQQC-UHFFFAOYSA-N	O=C(O)C(O)COP(=O)(O)O	O=C(O)C(O)COP(=O)(O)O	11	116	116		100	100	1.0	92	0.92	0.928476	0.1	0.977176
6	mona_1352	PRZ_M298	C11H14Cl3NO2	[M+H]+	Orbitrap (LCMS)	CCROUVCATXGAFZ-UHFFFAOYSA-N	CC(O)CNCCOc1c(Cl)cc(Cl)cc1Cl	CC(O)CNCCOc1c(Cl)cc(Cl)cc1Cl	17	229	148		100	98	0.98	50	0.5	0.925983	0.107692	0.969987
7	CCMSLIB00001059041	Pesticide6_Flusilazole_C16H15F2N3Si_1-[(Bis(4-fluorophenyl)methylsilyl)methyl]-1H-1,2,4-triazole M+H	C16H15F2N3Si	[M+H]+	Bruker Q-ToF (LCMS)	FQKUGOMFVDPBIZ-UHFFFAOYSA-N	C[Si](Cn1cncn1)(c1ccc(F)cc1)c1ccc(F)cc1	C[Si](Cn1cncn1)(c1ccc(F)cc1)c1ccc(F)cc1	22	3424	3424		100	98	0.98	96	0.96	0.942	0.0810811	0.958881
8	CCMSLIB00005465885	Methionine conjugated cholic acid M+H	C29H49NO6S	[M+H]+	Q-ToF (LCMS)	VNBNDOGLQFEJKP-UHFFFAOYSA-N	CSCCC(NC(=O)CCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C)C(=O)O	CSCCC(NC(=O)CCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C)C(=O)O	37	2088	2088		100	100	1.0	74	0.74	0.95	0.315217	0.94913
9	CCMSLIB00000085128	MLS001148453-01! M+H	C14H19N3S	[M+H]+	Q-ToF (LCMS)	HNJJXZKZRAWDPF-UHFFFAOYSA-N	CN(C)CCN(Cc1cccs1)c1ccccn1	CN(C)CCN(Cc1cccs1)c1ccccn1	18	916	916		100	98	0.98	76	0.76	0.942	0.118644	0.946861
10	CCMSLIB00003138642	Spectral Match to .gamma.-L-Glu-.epsilon.-L-Lys from NIST14 M+H	C11H21N3O5	[M+H]+	Q-ToF (LCMS)	JPKNLFVGUZRHOB-UHFFFAOYSA-N	NC(CCCCNC(=O)CCC(N)C(=O)O)C(=O)O	NC(CCCCNC(=O)CCC(N)C(=O)O)C(=O)O	19	271	271		100	100	1.0	49	0.49	0.941292	0.170732	0.928851
